task_id,category,arm,repetition,tool_turns,read_calls,grep_calls,glob_calls,shell_calls,graph_queries,knowledge_queries,unique_files_read,total_file_chars_read,total_tool_output_chars,time_to_first_relevant_evidence_ms,duration_ms,task_success,required_evidence_recall,evidence_precision,wrong_evidence_count,wrong_path_count,hallucinated_symbol_count,hallucinated_relation_count
T01,T1-document-to-code,native,1,11,6,5,0,0,0,0,5,87926,92117,,25399.0095,False,0.6666666666666666,1.0,0,10,,
T01,T1-document-to-code,native,2,7,3,2,2,0,0,0,3,78752,80428,,12834.585,False,0.6666666666666666,1.0,0,3,,
T01,T1-document-to-code,native,3,5,3,2,0,0,0,0,3,12367,22747,,10816.1889,False,0.6666666666666666,1.0,0,3,,
T01,T1-document-to-code,codegraph,1,11,5,1,1,0,4,0,4,50692,55054,,37726.0467,False,0.6666666666666666,1.0,0,4,,
T01,T1-document-to-code,codegraph,2,16,7,5,1,0,3,0,7,63124,68447,,26721.3372,False,0.6666666666666666,1.0,0,3,,
T01,T1-document-to-code,codegraph,3,13,4,6,0,0,3,0,3,64603,72623,,23395.1374,False,0.6666666666666666,1.0,0,6,,
T01,T1-document-to-code,knowledge,1,13,4,6,1,1,1,0,5,58374,71810,,29340.7656,False,0.6666666666666666,1.0,0,4,,
T01,T1-document-to-code,knowledge,2,13,5,5,0,1,2,0,4,64444,73005,,23200.5673,False,0.6666666666666666,1.0,0,3,,
T01,T1-document-to-code,knowledge,3,13,6,5,0,0,2,0,3,63746,69370,,19965.2321,False,0.6666666666666666,1.0,0,2,,
T02,T1-document-to-code,native,1,8,4,3,0,1,0,0,7,27329,30220,,14378.6439,False,0.6666666666666666,1.0,0,4,,
T02,T1-document-to-code,native,2,7,3,2,2,0,0,0,6,67994,69270,,13887.7189,False,0.6666666666666666,1.0,0,4,,
T02,T1-document-to-code,native,3,6,3,2,1,0,0,0,4,67994,69820,,11575.9538,False,0.3333333333333333,1.0,0,2,,
T02,T1-document-to-code,codegraph,1,9,3,3,0,0,3,0,3,67994,71770,,17593.4521,False,0.6666666666666666,1.0,0,3,,
T02,T1-document-to-code,codegraph,2,9,4,3,0,1,1,0,5,22861,26070,,16777.8068,False,0.3333333333333333,1.0,0,4,,
